"Date","Open","High","Low","Close","Volume","ticker","name"
"1962-01-02 00:00:00-05:00","0.04536846652626991","0.04660367041349675","0.04536846652626991","0.04536846652626991","806400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-03 00:00:00-05:00","0.0446947208772941","0.0446947208772941","0.04368392994792594","0.044357672333717346","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-04 00:00:00-05:00","0.04447014659897916","0.04503159783428482","0.04447014659897916","0.04469472914934158","844800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-05 00:00:00-05:00","0.044694706944611896","0.0452561579009837","0.04357162511094359","0.043683916330337524","1420800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-08 00:00:00-05:00","0.04334703437579284","0.04334703437579284","0.042392474373777","0.04323474317789078","2035200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-09 00:00:00-05:00","0.04323477906137825","0.044245395540679446","0.04289790518807748","0.04402081295847893","960000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-10 00:00:00-05:00","0.04402077986841558","0.044863051308758124","0.04357162018224538","0.044245362281799316","1612800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-11 00:00:00-05:00","0.04424538926820307","0.04469472914934158","0.044020806717840644","0.04469472914934158","614400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-12 00:00:00-05:00","0.0446947208772941","0.0446947208772941","0.04390851245672289","0.044357672333717346","883200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-15 00:00:00-05:00","0.04424536770201655","0.04424536770201655","0.043796207960822654","0.0439084991812706","614400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-16 00:00:00-05:00","0.04379624433821405","0.04379624433821405","0.04306626597911323","0.04312249645590782","1113600","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-17 00:00:00-05:00","0.0431224590016269","0.0431224590016269","0.041774969547986984","0.041774969547986984","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-18 00:00:00-05:00","0.04177498037334919","0.04199956029361981","0.04076418952601548","0.04093271121382713","2649600","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-19 00:00:00-05:00","0.04132567226831762","0.04222417250275612","0.04132567226831762","0.04222417250275612","1459200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-22 00:00:00-05:00","0.04222415802057997","0.04267332316379939","0.04177499544766101","0.04256103187799454","1075200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-23 00:00:00-05:00","0.04244870733304463","0.04244870733304463","0.04166249930858612","0.04166249930858612","768000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-24 00:00:00-05:00","0.041662554876446024","0.041775018434263435","0.04042735262322605","0.04121338948607445","2611200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-25 00:00:00-05:00","0.0412133516906143","0.04188726879806628","0.04087647795677185","0.04087647795677185","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-26 00:00:00-05:00","0.04087647085978882","0.04087647085978882","0.04020272607937917","0.0404273085296154","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-29 00:00:00-05:00","0.0404273085296154","0.04053959975473352","0.04031501730449728","0.0404273085296154","307200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-30 00:00:00-05:00","0.04042731671462979","0.04076419045818843","0.04025879502296448","0.04025879502296448","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-31 00:00:00-05:00","0.04042732956941025","0.04188728332519531","0.04042732956941025","0.04188728332519531","1766400","KO","The Coca-Cola Company (KO) Historical Data"
